seller_id,seller_state,orders,item_price_revenue,avg_review_score,late_rate,avg_freight_per_item
0dd184061fb0eaa7ca37932c68ab91c5,SP,161,18446.92,3.953125,0.09844559585492228,27.56217616580311
44073f8b7e41514de3b7815dd0237f4f,DF,142,18380.64,3.7466666666666666,0.046357615894039736,20.78708609271523
d650b663c3b5f6fb392b6326366efa9a,SP,57,18335.9,4.368421052631579,0.07017543859649122,14.949298245614035
cd68562d3f44870c08922d380acae552,SP,122,18119.7,3.90625,0.20155038759689922,16.745426356589146
527801b552d0077ffd170872eb49683b,SP,90,17942.8,4.483516483516484,0.09782608695652174,22.41913043478261
a888faf2d1baececa6baf9c3d603ee1f,PR,53,17564.8,4.111111111111111,0.14814814814814814,20.517592592592592
9de4643a8dbde634fe55621059d92273,SC,72,17560.34,4.530864197530864,0.06172839506172839,21.260123456790122
165fc07beebdcb6190fba8a06db2a449,PR,50,17481.4,3.6875,0.125,25.00046875
94144541854e298c2d976cb893b81343,RS,68,17286.28,4.333333333333333,0.039473684210526314,18.807499999999997
8b321bb669392f5163d04c59e235e066,SP,930,17262.94,4.021978021978022,0.10248756218905472,13.854726368159204
1e8b33f18b4f7598d87f5cbee2282cc2,SP,122,17233.56,4.306569343065694,0.04316546762589928,19.356187050359715
0c8380b62e38e8a1e6adbeba7eb9688c,MG,180,17228.99,4.060185185185185,0.05045871559633028,18.67775229357798
54a1852d1b8f10312c55e906355666ee,SP,198,17056.46,4.3681592039801,0.09900990099009901,16.641435643564357
abe42c5d03695b4257b5c6cbf4e6784e,RJ,49,17000.0,3.9583333333333335,0.16326530612244897,19.337755102040816
76d64c4aca3a7baf218bf93ef7fa768d,PR,64,16911.8,4.1231884057971016,0.028985507246376812,51.35492753623189
8ae520247981aa06bc94abddf5f46d34,SC,65,16320.99,4.446153846153846,0.015384615384615385,22.236153846153844
41b39e28db005d9731d9d485a83b4c38,SP,187,16306.75,4.242152466367713,0.05829596412556054,16.850986547085203
4a3ccda38b2129705f3fb522db62ca31,SP,64,16169.09,3.8013698630136985,0.0958904109589041,18.35232876712329
ef0ace09169ac090589d85746e3e036f,RJ,128,16105.400000000001,4.366906474820144,0.07913669064748201,16.542302158273383
7aa4334be125fcdd2ba64b3180029f14,SP,214,16012.949999999999,4.080508474576271,0.1350210970464135,18.21759493670886
fa40cc5b934574b62717c68f3d678b6d,SP,304,15900.48,4.446428571428571,0.05934718100890208,13.30127596439169
86ccac0b835037332a596a33b6949ee1,SC,178,15894.34,4.031400966183575,0.028846153846153848,18.776971153846155
4b9750c8ad28220fe6702d4ecb7c898f,SP,217,15815.4,4.352941176470588,0.07692307692307693,15.196606334841627
d921b68bf747894be13a97ae52b0f386,MG,77,15645.8,4.558441558441558,0.012987012987012988,22.8312987012987
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,106,15557.6,4.007462686567164,0.05223880597014925,17.894776119402987
2a5b78b41cd05baeac8df54c6606b92c,MG,46,15554.28,4.303571428571429,0.017857142857142856,18.235535714285714
c33847515fa6305ce6feb1e818569f13,SC,114,15519.85,3.71875,0.046875,34.175078125
229c3efbfb0ea2058de4ccdfbc3d784a,MG,118,15479.0,3.6433566433566433,0.020689655172413793,15.866965517241379
e5a38146df062edaf55c38afa99e42dc,SP,120,15270.89,3.967479674796748,0.08870967741935484,15.205967741935483
